Territorio;Settore Ateco 2007;31/03/2009;30/04/2009;31/05/2009;30/06/2009;31/07/2009;31/08/2009;30/09/2009;31/10/2009;30/11/2009;31/12/2009;31/01/2010;28/02/2010;31/03/2010;30/04/2010;31/05/2010;30/06/2010;31/07/2010;31/08/2010;30/09/2010;31/10/2010;30/11/2010;31/12/2010;31/01/2011;28/02/2011;31/03/2011;30/04/2011;31/05/2011;30/06/2011;31/07/2011;31/08/2011;30/09/2011;31/10/2011;30/11/2011;31/12/2011;31/01/2012;29/02/2012;31/03/2012;30/04/2012;31/05/2012;30/06/2012;31/07/2012;31/08/2012;30/09/2012;31/10/2012;30/11/2012;31/12/2012;31/01/2013;28/02/2013;31/03/2013;30/04/2013;31/05/2013;30/06/2013;31/07/2013;31/08/2013;30/09/2013;31/10/2013;30/11/2013;31/12/2013;31/01/2014;28/02/2014;31/03/2014;30/04/2014;31/05/2014;30/06/2014;31/07/2014;31/08/2014;30/09/2014;31/10/2014;30/11/2014;31/12/2014;31/01/2015;28/02/2015;31/03/2015;30/04/2015;31/05/2015;30/06/2015;31/07/2015;31/08/2015;30/09/2015;31/10/2015;30/11/2015;31/12/2015;31/01/2016;29/02/2016;31/03/2016;30/04/2016;31/05/2016;30/06/2016;31/07/2016;31/08/2016;30/09/2016;31/10/2016;30/11/2016;31/12/2016;31/01/2017;28/02/2017;31/03/2017;30/04/2017;31/05/2017;30/06/2017;31/07/2017;31/08/2017;30/09/2017;31/10/2017;30/11/2017;31/12/2017;31/01/2018;28/02/2018;31/03/2018;30/04/2018;31/05/2018;30/06/2018;31/07/2018;31/08/2018;30/09/2018;31/10/2018;30/11/2018;31/12/2018;31/01/2019;28/02/2019;31/03/2019;30/04/2019;31/05/2019;30/06/2019;31/07/2019;31/08/2019;30/09/2019;31/10/2019;30/11/2019;31/12/2019;31/01/2020;29/02/2020;31/03/2020;30/04/2020;31/05/2020;30/06/2020;31/07/2020;31/08/2020;30/09/2020;31/10/2020;30/11/2020;31/12/2020;31/01/2021;28/02/2021;31/03/2021;30/04/2021;31/05/2021;30/06/2021;31/07/2021;31/08/2021;30/09/2021;31/10/2021;30/11/2021;31/12/2021;31/01/2022;28/02/2022;31/03/2022;30/04/2022;31/05/2022;30/06/2022;31/07/2022;31/08/2022;30/09/2022;31/10/2022;30/11/2022;31/12/2022;31/01/2023;28/02/2023;31/03/2023;30/04/2023;31/05/2023;30/06/2023;31/07/2023;31/08/2023;30/09/2023;31/10/2023;30/11/2023;31/12/2023;31/01/2024;29/02/2024;31/03/2024;30/04/2024;31/05/2024;30/06/2024;31/07/2024;31/08/2024;30/09/2024;31/10/2024;30/11/2024;31/12/2024;31/01/2025;28/02/2025;31/03/2025
Torino;J;5.050;5.072;5.097;5.113;5.114;5.112;5.117;5.127;5.115;5.104;5.069;5.081;5.119;5.150;5.168;5.168;5.171;5.165;5.179;5.181;5.191;5.193;5.193;5.198;5.214;5.225;5.240;5.233;5.240;5.235;5.235;5.237;5.234;5.212;5.180;5.157;5.204;5.212;5.208;5.212;5.212;5.208;5.214;5.210;5.215;5.172;5.108;5.128;5.158;5.178;5.209;5.223;5.237;5.233;5.247;5.254;5.247;5.248;5.195;5.194;5.214;5.215;5.233;5.244;5.255;5.255;5.273;5.283;5.298;5.298;5.251;5.277;5.306;5.310;5.314;5.324;5.346;5.352;5.366;5.368;5.351;5.313;5.277;5.272;5.304;5.324;5.334;5.335;5.333;5.336;5.348;5.336;5.340;5.328;5.318;5.313;5.315;5.331;5.342;5.358;5.355;5.353;5.360;5.349;5.333;5.302;5.299;5.293;5.300;5.320;5.325;5.337;5.360;5.363;5.373;5.379;5.384;5.347;5.308;5.310;5.331;5.337;5.353;5.366;5.381;5.389;5.398;5.394;5.391;5.367;5.335;5.350;5.374;5.396;5.408;5.414;5.428;5.436;5.465;5.459;5.443;5.419;5.426;5.436;5.471;5.491;5.494;5.514;5.528;5.533;5.538;5.536;5.533;5.515;5.503;5.521;5.558;5.567;5.601;5.613;5.631;5.633;5.640;5.647;5.654;5.621;5.605;5.629;5.670;5.681;5.695;5.692;5.689;5.685;5.682;5.692;5.681;5.648;5.652;5.645;5.665;5.676;5.683;5.706;5.717;5.725;5.730;5.732;5.720;5.681;5.682;5.690;5.697
Torino;TOTAL;205.092;205.508;206.091;206.234;206.418;206.289;206.712;207.017;207.136;206.726;205.533;204.998;205.699;206.764;207.359;207.797;208.008;207.790;208.247;208.404;208.501;208.016;207.148;207.051;207.089;207.706;207.991;208.238;208.353;208.114;208.396;208.455;208.333;207.518;206.213;204.873;205.305;205.751;205.823;205.908;205.889;205.684;205.750;205.506;205.348;204.692;202.733;202.062;202.415;202.676;203.294;203.457;203.232;202.933;202.963;203.016;202.766;202.114;200.561;199.980;200.161;199.245;199.432;199.420;199.183;198.857;199.156;198.969;198.994;198.489;196.823;196.700;197.040;197.299;197.496;197.736;197.769;197.664;197.767;197.920;197.797;197.084;195.984;195.562;195.947;196.403;196.712;196.743;196.709;196.443;196.469;196.298;196.243;195.671;194.943;194.401;194.498;194.878;195.315;195.592;195.528;195.448;195.541;195.508;195.334;194.752;193.383;192.861;193.050;193.566;193.882;194.102;194.191;193.931;194.091;194.274;194.049;193.423;191.793;190.867;191.135;191.547;191.811;192.202;192.287;192.216;192.569;192.612;192.613;192.115;190.647;190.267;190.718;190.924;191.271;191.694;192.089;192.127;192.574;192.768;193.040;192.604;192.017;192.184;193.131;193.753;194.414;195.090;195.396;195.528;196.011;195.872;196.098;195.741;195.379;195.164;195.787;196.070;196.518;196.728;196.811;196.570;196.754;196.825;196.929;196.459;195.349;195.286;195.931;196.186;196.385;196.509;196.604;196.424;196.535;196.588;196.535;196.203;195.783;194.975;195.440;195.825;195.984;196.299;196.123;196.114;196.309;196.325;196.127;195.477;194.967;194.552;194.976
